id;region;fecha;hora;es_dia;temperatura_2m;lluvia_mm;humedad_relativa_2m;temperatura_aparente;radiacion_directa;cod_clima;presion_msl
3527;costa;10/8/2021;12:00;1;20.2;0.00;86;22.4;1.2;1;1013.6
3528;oriente;10/8/2021;12:00;1;23.3;1.70;78;25.6;207.5;51;1017.9
3529;sierra;11/8/2021;0:00;0;7.7;1.40;99;7.0;2.8;51;1024.0
3530;costa;11/8/2021;0:00;0;24.5;0.00;68;25.7;196.7;3;1012.8
3531;oriente;11/8/2021;0:00;0;19.2;0.20;84;20.4;12.7;51;1018.2
3532;sierra;11/8/2021;12:00;1;11.0;1.50;100;10.1;67.5;51;1024.1
3533;costa;11/8/2021;12:00;1;20.7;0.00;81;22.7;0.2;3;1014.2
3534;oriente;11/8/2021;12:00;1;24.4;0.60;65;26.0;174.8;51;1018.7
3535;sierra;12/8/2021;0:00;0;7.1;0.00;80;5.3;14.8;3;1024.5
3536;costa;12/8/2021;0:00;0;24.5;0.00;71;26.2;155.0;3;1012.3
3537;oriente;12/8/2021;0:00;0;18.6;0.00;83;19.6;7.8;2;1018.4
3538;sierra;12/8/2021;12:00;1;11.1;0.00;74;9.3;198.5;2;1023.3
3539;costa;12/8/2021;12:00;1;20.6;0.00;83;22.7;1.3;0;1014.5
3540;oriente;12/8/2021;12:00;1;25.9;0.10;58;27.5;220.7;51;1017.4
3541;sierra;13/8/2021;0:00;0;7.7;0.60;84;6.2;8.5;51;1023.7
3542;costa;13/8/2021;0:00;0;25.1;0.00;71;26.7;308.3;3;1013.2
3543;oriente;13/8/2021;0:00;0;18.6;0.20;92;20.5;8.2;51;1018.5
3544;sierra;13/8/2021;12:00;1;9.6;2.10;82;8.4;26.7;51;1024.6
3545;costa;13/8/2021;12:00;1;21.2;0.00;85;23.5;0.2;3;1014.8
3546;oriente;13/8/2021;12:00;1;24.9;0.00;60;26.2;147.3;3;1018.3
3547;sierra;14/8/2021;0:00;0;8.4;0.30;88;7.2;4.2;51;1023.0
3548;costa;14/8/2021;0:00;0;24.9;0.00;71;27.2;136.5;3;1013.5
3549;oriente;14/8/2021;0:00;0;19.0;0.00;81;20.0;9.2;3;1018.0
3550;sierra;14/8/2021;12:00;1;10.3;0.30;87;9.0;208.2;51;1024.4
3551;costa;14/8/2021;12:00;1;20.9;0.00;84;23.0;1.0;1;1015.9
3552;oriente;14/8/2021;12:00;1;25.8;0.10;54;26.8;100.0;51;1018.1
3553;sierra;15/8/2021;0:00;0;7.9;2.20;99;6.9;0.0;51;1024.0
3554;costa;15/8/2021;0:00;0;25.3;0.00;70;27.3;136.0;3;1012.0
3555;oriente;15/8/2021;0:00;0;19.1;0.00;85;20.8;5.5;3;1019.2
3556;sierra;15/8/2021;12:00;1;10.8;0.90;85;9.4;159.0;51;1023.1
3557;costa;15/8/2021;12:00;1;21.5;0.00;83;24.1;0.3;2;1014.6
3558;oriente;15/8/2021;12:00;1;26.3;0.40;49;27.1;249.8;51;1016.5
3559;sierra;16/8/2021;0:00;0;8.2;0.60;85;6.9;1.2;51;1021.4
3560;costa;16/8/2021;0:00;0;25.2;0.00;70;27.3;120.0;2;1011.6
3561;oriente;16/8/2021;0:00;0;18.7;0.00;82;19.6;9.8;3;1015.8
3562;sierra;16/8/2021;12:00;1;10.2;1.70;97;9.4;34.7;51;1021.9
3563;costa;16/8/2021;12:00;1;21.5;0.30;91;25.1;0.8;51;1013.2
3564;oriente;16/8/2021;12:00;1;26.0;0.10;59;28.0;212.3;51;1015.3
3565;sierra;17/8/2021;0:00;0;8.0;0.60;97;7.0;5.5;51;1022.3
3566;costa;17/8/2021;0:00;0;24.9;0.00;74;27.6;150.0;3;1011.6
3567;oriente;17/8/2021;0:00;0;18.5;1.20;95;20.4;5.8;51;1016.2
3568;sierra;17/8/2021;12:00;1;11.9;2.20;100;11.3;249.7;51;1021.8
3569;costa;17/8/2021;12:00;1;21.6;0.00;82;24.1;0.3;3;1013.9
3570;oriente;17/8/2021;12:00;1;23.3;2.70;79;26.8;84.7;51;1016.9
3571;sierra;18/8/2021;0:00;0;8.4;0.20;79;6.8;12.3;51;1022.7
3572;costa;18/8/2021;0:00;0;24.1;0.00;74;25.4;145.2;2;1011.7
3573;oriente;18/8/2021;0:00;0;18.3;0.10;94;20.3;10.0;51;1017.1
3574;sierra;18/8/2021;12:00;1;12.3;1.60;99;11.7;225.8;51;1023.8
3575;costa;18/8/2021;12:00;1;21.3;0.00;87;24.0;1.3;0;1014.2
3576;oriente;18/8/2021;12:00;1;24.2;1.40;70;26.5;149.3;51;1018.2
3577;sierra;19/8/2021;0:00;0;8.4;1.00;91;7.4;7.3;51;1023.5
3578;costa;19/8/2021;0:00;0;26.1;0.50;73;28.6;154.5;51;1012.2
3579;oriente;19/8/2021;0:00;0;18.4;0.00;84;19.5;8.5;3;1017.6
3580;sierra;19/8/2021;12:00;1;11.0;2.20;83;9.9;237.7;51;1023.0
3581;costa;19/8/2021;12:00;1;21.8;0.00;83;24.0;1.0;1;1014.3
3582;oriente;19/8/2021;12:00;1;23.7;1.10;74;26.4;32.5;51;1017.1
3583;sierra;20/8/2021;0:00;0;8.9;0.30;86;8.0;14.5;51;1020.9
3584;costa;20/8/2021;0:00;0;24.4;0.70;75;26.5;70.3;51;1012.2
3585;oriente;20/8/2021;0:00;0;17.5;0.00;94;19.2;11.3;2;1015.4
3586;sierra;20/8/2021;12:00;1;12.6;0.00;75;11.0;308.7;1;1018.9
3587;costa;20/8/2021;12:00;1;20.8;0.00;87;23.4;1.5;1;1011.5
3588;oriente;20/8/2021;12:00;1;26.2;0.10;55;28.0;315.7;51;1013.7
3589;sierra;21/8/2021;0:00;0;7.8;0.00;96;6.5;8.0;2;1019.4
3590;costa;21/8/2021;0:00;0;27.1;0.00;65;29.6;208.2;2;1008.8
3591;oriente;21/8/2021;0:00;0;18.9;0.70;94;21.3;2.3;51;1014.7
3592;sierra;21/8/2021;12:00;1;11.3;0.60;77;9.9;205.7;51;1020.2
3593;costa;21/8/2021;12:00;1;22.0;0.00;81;24.9;0.7;3;1010.8
3594;oriente;21/8/2021;12:00;1;22.7;1.50;84;26.3;48.5;51;1015.8
3595;sierra;22/8/2021;0:00;0;8.2;0.40;85;7.2;1.5;51;1020.7
3596;costa;22/8/2021;0:00;0;24.8;0.00;74;27.4;145.5;3;1008.8
3597;oriente;22/8/2021;0:00;0;17.8;0.00;95;19.4;5.2;2;1015.1
3598;sierra;22/8/2021;12:00;1;10.1;2.70;98;9.3;102.7;51;1021.5
3599;costa;22/8/2021;12:00;1;21.0;0.00;85;23.3;1.5;0;1011.2
3600;oriente;22/8/2021;12:00;1;26.5;0.00;60;28.6;220.8;2;1014.1
3601;sierra;23/8/2021;0:00;0;9.7;0.70;66;8.2;4.8;51;1018.8
3602;costa;23/8/2021;0:00;0;24.7;0.00;73;26.5;150.2;1;1008.4
3603;oriente;23/8/2021;0:00;0;18.1;0.00;91;19.6;9.3;3;1013.6
3604;sierra;23/8/2021;12:00;1;11.8;0.00;74;10.3;302.7;2;1019.5
3605;costa;23/8/2021;12:00;1;21.3;0.00;84;23.4;1.5;1;1010.9
3606;oriente;23/8/2021;12:00;1;27.0;0.10;51;28.5;298.3;51;1012.5
3607;sierra;24/8/2021;0:00;0;10.3;0.00;68;8.9;14.0;3;1018.0
3608;costa;24/8/2021;0:00;0;25.1;0.00;69;26.7;141.7;3;1010.3
3609;oriente;24/8/2021;0:00;0;19.4;0.30;93;22.1;7.3;51;1013.3
3610;sierra;24/8/2021;12:00;1;12.0;0.10;78;10.6;331.3;51;1018.4
3611;costa;24/8/2021;12:00;1;21.0;0.00;85;23.5;1.7;0;1011.3
3612;oriente;24/8/2021;12:00;1;25.8;1.20;73;29.6;225.3;51;1012.5
3613;sierra;25/8/2021;0:00;0;10.0;3.10;84;9.2;2.7;53;1017.2
3614;costa;25/8/2021;0:00;0;25.1;0.00;65;25.8;285.3;1;1009.8
3615;oriente;25/8/2021;0:00;0;19.0;0.00;96;21.6;4.0;3;1012.8
3616;sierra;25/8/2021;12:00;1;11.7;1.20;100;11.3;142.8;51;1019.3
3617;costa;25/8/2021;12:00;1;21.2;0.00;86;24.4;1.7;3;1011.8
3618;oriente;25/8/2021;12:00;1;26.0;1.20;71;29.5;175.7;51;1013.9
3619;sierra;26/8/2021;0:00;0;8.6;0.20;84;7.2;3.3;51;1019.7
3620;costa;26/8/2021;0:00;0;26.1;0.00;69;28.1;244.0;3;1008.9
3621;oriente;26/8/2021;0:00;0;19.5;0.30;96;22.2;4.7;51;1014.9
3622;sierra;26/8/2021;12:00;1;11.6;0.60;78;10.3;186.7;51;1020.2
3623;costa;26/8/2021;12:00;1;22.2;0.00;83;25.3;0.2;3;1013.0
3624;oriente;26/8/2021;12:00;1;23.4;2.40;79;26.5;43.2;51;1015.9
3625;sierra;27/8/2021;0:00;0;9.1;0.40;75;7.1;1.0;51;1019.8
3626;costa;27/8/2021;0:00;0;25.9;0.00;70;28.2;87.3;3;1009.7
3627;oriente;27/8/2021;0:00;0;18.2;2.70;95;20.3;1.5;51;1015.0
3628;sierra;27/8/2021;12:00;1;12.1;0.40;86;11.0;223.0;51;1020.1
3629;costa;27/8/2021;12:00;1;22.3;0.00;82;25.6;0.7;3;1011.7
3630;oriente;27/8/2021;12:00;1;25.8;0.40;65;28.6;260.8;51;1014.8
3631;sierra;28/8/2021;0:00;0;8.9;1.60;83;7.4;5.8;51;1021.2
3632;costa;28/8/2021;0:00;0;25.8;0.00;73;28.2;85.2;3;1010.5
3633;oriente;28/8/2021;0:00;0;18.4;1.70;95;20.4;8.8;51;1016.2
3634;sierra;28/8/2021;12:00;1;9.4;0.30;87;7.6;9.2;51;1022.7
3635;costa;28/8/2021;12:00;1;21.6;0.00;88;24.7;1.0;2;1012.6
3636;oriente;28/8/2021;12:00;1;25.1;3.20;65;27.6;97.0;53;1016.3
3637;sierra;29/8/2021;0:00;0;8.3;0.00;79;6.5;16.7;1;1022.9
3638;costa;29/8/2021;0:00;0;26.2;0.00;69;28.5;117.2;3;1010.1
3639;oriente;29/8/2021;0:00;0;18.9;0.80;96;21.2;2.8;51;1016.5
3640;sierra;29/8/2021;12:00;1;11.1;0.10;79;9.7;90.3;51;1022.6
3641;costa;29/8/2021;12:00;1;22.1;0.00;80;24.3;0.5;3;1013.8
3642;oriente;29/8/2021;12:00;1;24.7;0.80;68;26.8;152.3;51;1016.5
3643;sierra;30/8/2021;0:00;0;8.6;0.60;87;7.3;0.3;51;1022.6
3644;costa;30/8/2021;0:00;0;24.6;0.00;71;26.7;26.8;3;1012.0
3645;oriente;30/8/2021;0:00;0;17.8;0.00;92;19.1;0.5;3;1017.0
3646;sierra;30/8/2021;12:00;1;9.0;4.80;87;7.6;8.2;53;1023.9
3647;costa;30/8/2021;12:00;1;20.7;0.00;85;23.3;0.8;2;1014.1
3648;oriente;30/8/2021;12:00;1;25.4;0.00;54;26.0;181.8;3;1016.5
3649;sierra;31/8/2021;0:00;0;8.8;1.00;76;7.0;2.0;51;1021.5
3650;costa;31/8/2021;0:00;0;26.6;0.00;66;29.1;252.8;3;1010.7
3651;oriente;31/8/2021;0:00;0;18.8;0.00;83;20.1;8.2;2;1016.0
3652;sierra;31/8/2021;12:00;1;11.4;0.50;94;10.5;175.5;51;1022.1
3653;costa;31/8/2021;12:00;1;21.2;0.00;84;23.7;1.8;0;1013.4
3654;oriente;31/8/2021;12:00;1;26.3;0.40;51;27.0;282.2;51;1015.5
3655;sierra;1/9/2021;0:00;0;8.0;0.40;81;6.4;5.7;51;1022.1
3656;costa;1/9/2021;0:00;0;27.6;0.00;61;30.9;197.8;2;1009.7
3657;oriente;1/9/2021;0:00;0;18.5;0.00;89;20.2;7.5;3;1017.0
3658;sierra;1/9/2021;12:00;1;11.4;0.20;77;9.9;165.5;51;1022.8
3659;costa;1/9/2021;12:00;1;22.5;0.20;82;25.2;0.0;51;1013.4
3660;oriente;1/9/2021;12:00;1;26.0;0.20;60;28.0;272.7;51;1017.0
3661;sierra;2/9/2021;0:00;0;8.6;0.30;78;7.2;3.5;51;1022.2
3662;costa;2/9/2021;0:00;0;23.9;0.00;74;25.4;85.3;3;1011.5
3663;oriente;2/9/2021;0:00;0;18.6;0.00;98;21.0;5.3;3;1016.6
3664;sierra;2/9/2021;12:00;1;12.5;0.40;70;10.9;250.3;51;1021.6
3665;costa;2/9/2021;12:00;1;21.5;0.20;83;24.3;1.0;51;1014.2
3666;oriente;2/9/2021;12:00;1;25.6;1.90;65;28.5;183.0;51;1017.0
3667;sierra;3/9/2021;0:00;0;8.5;1.10;82;6.8;6.8;51;1022.5
3668;costa;3/9/2021;0:00;0;26.8;0.00;63;28.5;276.8;2;1010.2
3669;oriente;3/9/2021;0:00;0;18.6;0.00;89;20.2;8.5;2;1016.2
3670;sierra;3/9/2021;12:00;1;12.4;0.00;67;10.6;320.3;1;1022.0
3671;costa;3/9/2021;12:00;1;21.8;0.00;83;24.7;2.0;0;1013.2
3672;oriente;3/9/2021;12:00;1;26.9;0.60;58;29.4;295.0;51;1015.2
3673;sierra;4/9/2021;0:00;0;9.4;0.00;66;7.6;10.2;2;1020.3
3674;costa;4/9/2021;0:00;0;26.0;0.00;69;28.1;54.5;2;1009.8
3675;oriente;4/9/2021;0:00;0;18.5;0.80;97;20.7;3.3;51;1014.9
3676;sierra;4/9/2021;12:00;1;12.2;0.10;76;10.5;300.5;51;1021.1
3677;costa;4/9/2021;12:00;1;22.1;0.00;80;24.3;1.5;1;1012.1
3678;oriente;4/9/2021;12:00;1;28.1;0.00;50;29.7;319.0;3;1014.0
3679;sierra;5/9/2021;0:00;0;9.2;0.00;82;7.8;8.8;3;1020.4
3680;costa;5/9/2021;0:00;0;26.3;0.00;66;27.7;97.3;2;1010.1
3681;oriente;5/9/2021;0:00;0;16.9;0.00;94;18.1;9.0;1;1014.9
3682;sierra;5/9/2021;12:00;1;12.6;0.20;70;11.2;346.2;51;1020.4
3683;costa;5/9/2021;12:00;1;22.1;0.00;83;24.9;2.0;1;1012.5
3684;oriente;5/9/2021;12:00;1;26.6;0.20;58;28.5;296.3;51;1014.9
3685;sierra;6/9/2021;0:00;0;9.3;0.50;92;8.7;1.8;51;1021.2
3686;costa;6/9/2021;0:00;0;24.5;0.00;75;26.5;55.0;3;1010.8
3687;oriente;6/9/2021;0:00;0;19.0;0.00;90;21.1;6.8;3;1015.8
3688;sierra;6/9/2021;12:00;1;9.5;8.00;87;8.3;0.2;61;1023.2
3689;costa;6/9/2021;12:00;1;21.7;0.00;91;25.4;0.3;3;1014.3
3690;oriente;6/9/2021;12:00;1;20.3;6.70;98;23.5;2.2;55;1019.1
3691;sierra;7/9/2021;0:00;0;8.4;0.70;95;7.6;8.8;51;1022.1
3692;costa;7/9/2021;0:00;0;24.4;0.10;82;28.3;24.3;51;1010.8
3693;oriente;7/9/2021;0:00;0;19.1;1.00;99;22.0;6.0;51;1016.6
3694;sierra;7/9/2021;12:00;1;11.0;0.70;82;9.8;216.3;51;1023.1
3695;costa;7/9/2021;12:00;1;22.3;0.00;83;24.7;0.3;3;1013.2
3696;oriente;7/9/2021;12:00;1;26.5;0.00;57;28.0;247.8;3;1015.7
3697;sierra;8/9/2021;0:00;0;8.8;0.30;86;7.6;4.2;51;1021.4
3698;costa;8/9/2021;0:00;0;25.7;0.00;71;27.9;67.2;3;1010.7
3699;oriente;8/9/2021;0:00;0;18.5;0.00;92;20.4;4.3;3;1016.4
3700;sierra;8/9/2021;12:00;1;12.8;0.00;76;11.6;234.0;3;1021.0
3701;costa;8/9/2021;12:00;1;22.3;0.00;83;25.3;2.2;1;1012.9
3702;oriente;8/9/2021;12:00;1;26.4;0.00;59;28.7;240.3;1;1015.5
3703;sierra;9/9/2021;0:00;0;9.1;0.30;68;7.0;3.3;51;1020.9
3704;costa;9/9/2021;0:00;0;25.1;0.00;74;27.2;72.8;2;1009.9
3705;oriente;9/9/2021;0:00;0;18.5;0.70;94;20.6;8.0;51;1016.0
3706;sierra;9/9/2021;12:00;1;11.5;0.20;78;10.1;322.3;51;1021.6
3707;costa;9/9/2021;12:00;1;21.7;0.00;86;24.4;2.0;1;1012.6
3708;oriente;9/9/2021;12:00;1;27.0;0.10;57;29.1;338.5;51;1015.3
3709;sierra;10/9/2021;0:00;0;8.9;0.00;72;6.8;6.2;3;1021.6
3710;costa;10/9/2021;0:00;0;25.5;0.00;66;27.2;76.2;3;1009.7
3711;oriente;10/9/2021;0:00;0;18.3;0.60;98;20.5;6.7;51;1015.6
3712;sierra;10/9/2021;12:00;1;11.4;0.40;83;10.2;306.2;51;1022.7
3713;costa;10/9/2021;12:00;1;21.5;0.00;84;23.9;1.7;2;1012.9
3714;oriente;10/9/2021;12:00;1;26.9;0.60;56;28.6;303.5;51;1015.7
3715;sierra;11/9/2021;0:00;0;7.3;1.20;89;5.6;0.0;51;1022.7
3716;costa;11/9/2021;0:00;0;23.7;0.20;78;25.6;46.5;51;1011.1
3717;oriente;11/9/2021;0:00;0;19.6;1.00;89;21.6;6.3;51;1016.6
3718;sierra;11/9/2021;12:00;1;9.5;0.50;83;7.9;29.8;51;1023.9
3719;costa;11/9/2021;12:00;1;21.1;0.10;91;23.8;1.0;51;1014.3
3720;oriente;11/9/2021;12:00;1;26.3;1.40;58;29.0;157.8;51;1017.3
3721;sierra;12/9/2021;0:00;0;8.8;0.70;86;7.5;3.2;51;1023.1
3722;costa;12/9/2021;0:00;0;24.2;0.00;77;26.5;60.8;2;1013.0
3723;oriente;12/9/2021;0:00;0;19.8;0.40;82;21.3;5.7;51;1018.0
3724;sierra;12/9/2021;12:00;1;8.9;3.30;90;8.0;14.2;53;1024.7
3725;costa;12/9/2021;12:00;1;20.6;0.00;88;23.1;1.7;3;1014.3
3726;oriente;12/9/2021;12:00;1;21.3;5.00;95;25.0;8.7;53;1020.2
3727;sierra;13/9/2021;0:00;0;7.5;3.20;98;6.4;3.5;53;1024.7
3728;costa;13/9/2021;0:00;0;25.0;0.00;74;27.6;74.7;3;1013.0
3729;oriente;13/9/2021;0:00;0;18.1;3.00;94;20.0;1.7;51;1018.5
3730;sierra;13/9/2021;12:00;1;10.7;0.90;73;8.6;285.8;51;1024.7
3731;costa;13/9/2021;12:00;1;20.8;0.50;90;23.5;0.3;51;1016.8
3732;oriente;13/9/2021;12:00;1;26.8;0.70;48;27.3;370.0;51;1017.7
3733;sierra;14/9/2021;0:00;0;7.4;0.00;67;4.9;12.3;0;1021.6
3734;costa;14/9/2021;0:00;0;24.2;0.00;75;26.0;93.8;1;1012.8
3735;oriente;14/9/2021;0:00;0;17.8;0.00;85;18.6;9.3;1;1016.4
3736;sierra;14/9/2021;12:00;1;12.8;0.00;60;10.3;414.0;2;1021.9
3737;costa;14/9/2021;12:00;1;20.9;0.00;83;23.1;2.2;1;1015.8
3738;oriente;14/9/2021;12:00;1;26.8;0.00;52;28.6;369.7;3;1016.3
3739;sierra;15/9/2021;0:00;0;9.0;0.00;81;7.9;8.7;0;1021.6
3740;costa;15/9/2021;0:00;0;25.2;0.00;70;27.1;185.5;2;1011.8
3741;oriente;15/9/2021;0:00;0;18.3;0.00;91;20.0;8.5;1;1016.4
3742;sierra;15/9/2021;12:00;1;11.0;0.30;76;9.4;265.8;51;1023.7
3743;costa;15/9/2021;12:00;1;21.4;0.00;86;24.0;3.2;0;1014.1
3744;oriente;15/9/2021;12:00;1;25.4;2.30;67;28.4;214.8;51;1018.0
3745;sierra;16/9/2021;0:00;0;8.1;0.00;74;6.3;9.0;1;1023.7
3746;costa;16/9/2021;0:00;0;25.1;0.00;73;27.7;90.8;2;1011.0
3747;oriente;16/9/2021;0:00;0;16.2;0.00;94;17.1;5.7;2;1017.6
3748;sierra;16/9/2021;12:00;1;10.1;2.30;100;9.0;145.5;51;1025.3
3749;costa;16/9/2021;12:00;1;21.6;0.00;84;23.9;3.0;0;1013.3
3750;oriente;16/9/2021;12:00;1;25.1;0.00;55;25.7;105.2;3;1019.1
3751;sierra;17/9/2021;0:00;0;7.0;0.40;77;4.6;10.7;51;1024.8
3752;costa;17/9/2021;0:00;0;25.8;0.00;70;27.9;101.8;1;1011.0
3753;oriente;17/9/2021;0:00;0;17.8;0.00;91;19.3;4.5;1;1019.1
3754;sierra;17/9/2021;12:00;1;11.2;0.10;72;9.2;353.0;51;1025.4
3755;costa;17/9/2021;12:00;1;21.3;0.00;87;24.3;3.2;0;1013.6
3756;oriente;17/9/2021;12:00;1;26.7;0.70;44;26.6;334.8;51;1018.2
3757;sierra;18/9/2021;0:00;0;8.7;0.60;72;7.2;7.3;51;1022.8
3758;costa;18/9/2021;0:00;0;24.4;0.00;76;26.2;209.2;1;1011.1
3759;oriente;18/9/2021;0:00;0;18.6;0.00;82;19.5;8.5;1;1017.6
3760;sierra;18/9/2021;12:00;1;10.2;0.90;75;9.0;44.7;51;1023.3
3761;costa;18/9/2021;12:00;1;21.7;0.00;82;23.7;2.3;1;1013.5
3762;oriente;18/9/2021;12:00;1;27.5;0.10;44;27.8;339.3;51;1015.8
3763;sierra;19/9/2021;0:00;0;9.3;0.10;75;7.9;8.3;51;1020.0
3764;costa;19/9/2021;0:00;0;24.1;0.00;69;24.9;46.5;0;1011.3
3765;oriente;19/9/2021;0:00;0;18.0;0.00;83;18.8;8.2;0;1015.0
3766;sierra;19/9/2021;12:00;1;11.7;0.20;89;10.7;360.8;51;1021.4
3767;costa;19/9/2021;12:00;1;20.9;0.00;85;23.1;3.3;0;1013.1
3768;oriente;19/9/2021;12:00;1;28.0;0.00;47;29.2;409.8;3;1014.2
3769;sierra;20/9/2021;0:00;0;8.8;0.10;85;7.5;3.7;51;1020.1
3770;costa;20/9/2021;0:00;0;26.0;0.00;65;27.6;208.3;0;1009.7
3771;oriente;20/9/2021;0:00;0;17.9;0.00;94;19.7;8.0;1;1014.7
3772;sierra;20/9/2021;12:00;1;11.2;0.10;75;9.9;266.5;51;1021.4
3773;costa;20/9/2021;12:00;1;21.6;0.00;83;23.7;2.8;1;1012.5
3774;oriente;20/9/2021;12:00;1;27.5;0.70;47;28.3;316.5;51;1014.7
3775;sierra;21/9/2021;0:00;0;8.2;0.40;84;6.8;6.5;51;1021.0
3776;costa;21/9/2021;0:00;0;25.3;0.00;66;26.8;48.7;3;1010.7
3777;oriente;21/9/2021;0:00;0;20.2;0.00;80;21.6;6.8;3;1014.5
3778;sierra;21/9/2021;12:00;1;10.7;3.90;93;9.6;38.7;53;1022.3
3779;costa;21/9/2021;12:00;1;21.4;0.00;81;23.8;3.3;2;1013.2
3780;oriente;21/9/2021;12:00;1;26.6;0.20;56;28.3;167.0;51;1014.7
3781;sierra;22/9/2021;0:00;0;8.5;3.20;96;7.8;4.5;53;1022.7
3782;costa;22/9/2021;0:00;0;25.3;0.00;70;27.2;83.8;3;1011.6
3783;oriente;22/9/2021;0:00;0;19.6;0.10;86;21.3;2.0;51;1016.3
3784;sierra;22/9/2021;12:00;1;9.9;11.90;100;9.0;6.3;61;1023.2
3785;costa;22/9/2021;12:00;1;21.5;0.00;82;24.0;1.5;3;1013.8
3786;oriente;22/9/2021;12:00;1;24.0;0.80;67;25.5;77.2;51;1016.8
3787;sierra;23/9/2021;0:00;0;7.7;1.40;99;6.8;6.3;51;1022.5
3788;costa;23/9/2021;0:00;0;25.4;0.00;69;27.7;219.5;3;1009.2
3789;oriente;23/9/2021;0:00;0;18.5;0.00;86;19.6;5.0;3;1016.1
3790;sierra;23/9/2021;12:00;1;8.1;3.10;95;7.0;4.5;53;1023.6
3791;costa;23/9/2021;12:00;1;21.5;0.00;84;24.2;2.7;3;1012.7
3792;oriente;23/9/2021;12:00;1;20.8;3.10;98;24.5;9.7;53;1018.2
3793;sierra;24/9/2021;0:00;0;8.8;0.10;68;7.1;8.0;51;1021.3
3794;costa;24/9/2021;0:00;0;25.8;0.00;72;28.2;120.2;2;1009.5
3795;oriente;24/9/2021;0:00;0;17.2;0.00;89;18.3;5.8;3;1016.3
3796;sierra;24/9/2021;12:00;1;9.2;1.00;86;7.5;114.0;51;1024.5
3797;costa;24/9/2021;12:00;1;22.3;0.00;83;25.2;1.7;2;1013.6
3798;oriente;24/9/2021;12:00;1;26.1;0.20;53;26.7;156.2;51;1017.0
3799;sierra;25/9/2021;0:00;0;7.8;0.60;93;6.5;5.5;51;1023.9
3800;costa;25/9/2021;0:00;0;24.7;0.00;77;27.3;91.2;2;1010.0
3801;oriente;25/9/2021;0:00;0;18.3;0.00;87;19.6;7.3;3;1018.1
3802;sierra;25/9/2021;12:00;1;9.7;4.20;82;8.2;74.3;53;1025.6
3803;costa;25/9/2021;12:00;1;22.1;0.00;88;25.0;3.3;2;1012.4
3804;oriente;25/9/2021;12:00;1;21.7;8.10;96;25.5;6.0;61;1020.8
3805;sierra;26/9/2021;0:00;0;7.4;1.10;92;5.6;1.5;51;1024.4
3806;costa;26/9/2021;0:00;0;25.1;0.10;71;26.9;77.7;51;1010.3
3807;oriente;26/9/2021;0:00;0;17.6;0.00;83;18.2;5.7;2;1017.9
3808;sierra;26/9/2021;12:00;1;11.2;0.20;79;9.7;327.5;51;1023.3
3809;costa;26/9/2021;12:00;1;21.5;0.00;84;23.9;2.7;3;1013.7
3810;oriente;26/9/2021;12:00;1;28.2;0.00;42;28.3;394.7;3;1016.3
3811;sierra;27/9/2021;0:00;0;8.7;0.00;68;6.9;10.7;1;1023.1
3812;costa;27/9/2021;0:00;0;24.5;0.00;72;26.1;77.8;3;1010.8
3813;oriente;27/9/2021;0:00;0;17.6;0.00;84;18.2;7.0;2;1017.8
3814;sierra;27/9/2021;12:00;1;12.8;0.00;66;10.8;397.7;1;1023.0
3815;costa;27/9/2021;12:00;1;21.5;0.00;83;23.7;4.3;0;1014.2
3816;oriente;27/9/2021;12:00;1;28.0;0.10;43;28.3;358.7;51;1016.3
3817;sierra;28/9/2021;0:00;0;8.7;0.00;75;7.2;11.5;1;1021.4
3818;costa;28/9/2021;0:00;0;25.4;0.00;65;26.6;257.7;1;1011.2
3819;oriente;28/9/2021;0:00;0;18.9;0.00;83;20.0;7.5;3;1015.8
3820;sierra;28/9/2021;12:00;1;12.7;0.40;64;10.9;354.7;51;1021.4
3821;costa;28/9/2021;12:00;1;21.3;0.00;83;23.9;4.0;1;1014.4
3822;oriente;28/9/2021;12:00;1;27.1;0.00;48;28.2;102.2;3;1015.4
3823;sierra;29/9/2021;0:00;0;9.0;0.70;93;8.3;7.0;51;1020.4
3824;costa;29/9/2021;0:00;0;25.9;0.00;63;26.5;261.5;3;1010.2
3825;oriente;29/9/2021;0:00;0;18.6;0.00;92;20.6;1.3;3;1015.1
3826;sierra;29/9/2021;12:00;1;11.0;2.70;96;10.1;111.0;51;1021.5
3827;costa;29/9/2021;12:00;1;21.5;0.00;83;23.9;3.7;3;1014.6
3828;oriente;29/9/2021;12:00;1;23.1;1.20;78;26.4;88.3;51;1016.9
3829;sierra;30/9/2021;0:00;0;9.2;0.30;76;7.6;0.7;51;1021.2
3830;costa;30/9/2021;0:00;0;24.1;0.00;68;24.6;221.5;3;1010.9
3831;oriente;30/9/2021;0:00;0;18.7;0.00;90;20.7;4.3;3;1015.2
3832;sierra;30/9/2021;12:00;1;10.8;2.60;82;9.4;93.0;51;1022.1
3833;costa;30/9/2021;12:00;1;21.2;0.00;81;23.5;3.8;1;1014.2
3834;oriente;30/9/2021;12:00;1;22.5;1.30;78;25.2;56.0;51;1017.6
3835;sierra;1/10/2021;0:00;0;7.8;0.90;91;6.3;1.5;51;1021.1
3836;costa;1/10/2021;0:00;0;26.0;0.00;64;27.6;306.8;3;1009.5
3837;oriente;1/10/2021;0:00;0;18.5;0.20;98;21.0;3.0;51;1016.3
