id;velocidad_viento_10m;presion_superficie;temp_suelo_7cm;humedad_suelo_7cm;temp_suelo_250cm
7126;4.7;715.8;12.2;0.413;10.9
7127;4.6;1010.6;25.1;0.502;26.6
7128;3.3;894.9;22.0;0.430;21.3
7129;0.8;713.9;10.0;0.416;10.9
7130;5.4;1008.1;26.3;0.506;26.6
7131;3.6;892.4;19.9;0.428;21.3
7132;4.5;714.9;14.0;0.415;10.9
7133;4.4;1008.6;25.8;0.495;26.6
7134;2.6;893.9;21.3;0.424;21.3
7135;1.5;713.2;10.5;0.411;10.9
7136;1.1;1006.6;26.7;0.500;26.6
7137;3.8;890.2;20.6;0.411;21.3
7138;5.8;714.8;13.7;0.407;10.9
7139;4.0;1009.6;25.2;0.502;26.6
7140;2.9;893.0;24.2;0.408;21.3
7141;0.5;713.6;10.3;0.412;10.9
7142;4.0;1007.1;26.9;0.513;26.6
7143;3.4;890.9;21.5;0.398;21.3
7144;6.2;715.7;15.3;0.398;10.9
7145;2.9;1008.6;25.2;0.491;26.6
7146;1.6;892.9;23.7;0.418;21.3
7147;2.1;713.1;10.7;0.424;10.9
7148;8.4;1008.5;26.9;0.517;26.6
7149;2.5;890.9;21.1;0.420;21.3
7150;1.5;714.8;11.3;0.438;10.9
7151;4.1;1011.2;24.8;0.511;26.6
7152;5.1;893.1;23.8;0.418;21.3
7153;0.5;713.5;10.3;0.433;10.9
7154;3.8;1010.1;26.1;0.514;26.6
7155;3.0;892.3;21.0;0.428;21.3
7156;6.1;714.8;12.1;0.429;10.9
7157;2.5;1011.3;25.1;0.502;26.6
7158;5.8;893.1;22.9;0.420;21.3
7159;2.3;713.6;9.8;0.428;10.9
7160;5.1;1008.3;27.4;0.491;26.6
7161;1.1;893.4;20.5;0.430;21.3
7162;4.6;715.1;9.9;0.437;10.9
7163;3.1;1010.5;25.8;0.481;26.6
7164;3.7;895.0;21.5;0.424;21.3
7165;1.5;714.5;7.2;0.420;10.9
7166;4.1;1007.7;29.0;0.475;26.6
7167;3.1;893.1;19.9;0.411;21.3
7168;6.6;716.8;11.3;0.410;10.9
7169;1.1;1010.3;26.5;0.502;26.6
7170;10.0;895.7;23.4;0.410;21.3
7171;2.7;714.9;7.9;0.409;10.9
7172;2.3;1008.5;27.4;0.513;26.6
7173;5.9;894.5;20.8;0.388;21.3
7174;3.6;717.0;12.1;0.420;10.9
7175;7.3;1010.6;25.0;0.498;26.6
7176;8.9;895.9;23.9;0.383;21.3
7177;0.8;714.6;9.5;0.408;10.9
7178;4.7;1009.7;27.1;0.492;26.6
7179;4.6;892.4;21.0;0.363;21.3
7180;4.6;715.8;14.5;0.405;10.9
7181;4.0;1010.8;25.1;0.487;26.6
7182;7.2;894.6;24.2;0.366;21.3
7183;3.6;713.9;8.7;0.403;10.9
7184;2.3;1008.4;27.5;0.506;26.6
7185;6.2;891.8;21.4;0.362;21.3
7186;4.8;715.4;14.2;0.400;10.9
7187;1.3;1010.6;25.8;0.519;26.6
7188;2.2;893.8;23.4;0.402;21.3
7189;4.7;713.5;9.2;0.399;10.9
7190;1.9;1008.4;26.2;0.504;26.6
7191;3.4;890.1;20.2;0.390;21.3
7192;7.6;715.6;13.0;0.407;10.9
7193;5.4;1008.9;25.3;0.494;26.6
7194;1.8;893.5;23.8;0.382;21.3
7195;2.8;712.6;10.0;0.386;10.9
7196;4.7;1006.7;27.4;0.493;26.6
7197;3.0;889.9;21.1;0.383;21.3
7198;4.7;715.8;11.9;0.411;10.9
7199;6.2;1010.3;25.5;0.499;26.6
7200;1.1;893.3;24.2;0.373;21.3
7201;2.1;714.4;9.4;0.377;10.9
7202;3.4;1006.8;28.0;0.505;26.6
7203;6.1;891.7;21.4;0.430;21.3
7204;7.3;717.4;15.3;0.382;10.9
7205;5.4;1011.6;25.3;0.510;26.6
7206;3.1;894.2;24.7;0.404;21.3
7207;1.8;715.1;9.5;0.389;10.9
7208;6.2;1010.2;27.3;0.494;26.6
7209;4.6;892.8;21.3;0.430;21.3
7210;5.2;717.2;16.1;0.380;10.9
7211;2.4;1013.1;24.6;0.498;26.6
7212;4.0;894.5;20.9;0.428;21.3
7213;0.7;715.0;10.2;0.395;10.9
7214;5.2;1011.4;26.0;0.512;26.6
7215;4.1;893.3;20.6;0.417;21.3
7216;4.5;716.0;12.5;0.412;10.9
7217;6.6;1011.3;24.9;0.515;26.6
7218;3.8;894.2;22.3;0.419;21.3
7219;4.1;713.6;9.6;0.423;10.9
7220;5.2;1007.9;26.7;0.488;26.6
7221;3.6;892.3;20.7;0.421;21.3
7222;3.4;715.2;13.2;0.407;10.9
7223;4.0;1010.9;25.5;0.507;26.6
7224;5.4;893.6;22.2;0.422;21.3
7225;1.5;713.4;9.3;0.413;10.9
7226;4.6;1007.5;28.4;0.496;26.5
7227;3.7;892.2;20.8;0.412;21.4
7228;6.3;714.9;10.3;0.434;10.9
7229;4.4;1009.2;26.5;0.496;26.5
7230;4.6;894.1;23.7;0.411;21.4
7231;4.0;714.4;10.2;0.418;10.9
7232;6.9;1009.1;27.3;0.498;26.5
7233;4.8;892.3;20.9;0.430;21.4
7234;6.8;717.5;13.2;0.421;10.9
7235;6.1;1011.3;25.8;0.498;26.5
7236;2.9;894.6;23.6;0.425;21.4
7237;3.9;714.5;10.5;0.409;10.9
7238;5.4;1011.5;26.7;0.510;26.5
7239;4.5;892.8;20.5;0.419;21.4
7240;5.2;716.7;14.3;0.409;10.9
7241;4.1;1011.8;25.1;0.511;26.5
7242;3.3;894.8;23.2;0.422;21.4
7243;1.1;714.1;10.6;0.420;10.9
7244;4.0;1009.9;27.2;0.490;26.5
7245;1.1;891.8;20.7;0.414;21.4
7246;3.2;715.8;14.5;0.431;10.9
7247;2.2;1010.8;25.7;0.511;26.5
7248;3.6;893.1;21.9;0.428;21.4
7249;0.4;713.6;10.7;0.435;10.9
7250;10.9;1010.3;26.1;0.513;26.5
7251;1.9;892.5;20.3;0.426;21.4
7252;4.1;715.4;11.5;0.421;10.9
7253;3.7;1012.4;24.5;0.517;26.5
7254;2.3;893.9;20.9;0.429;21.4
7255;0.5;715.2;10.3;0.423;10.9
7256;6.6;1011.2;26.3;0.493;26.5
7257;1.5;892.0;19.9;0.419;21.4
7258;6.1;717.4;16.1;0.411;10.9
7259;7.6;1010.9;24.6;0.483;26.5
7260;4.8;894.4;22.2;0.414;21.4
7261;2.6;714.4;10.4;0.432;10.9
7262;9.3;1008.6;28.9;0.457;26.5
7263;1.1;893.0;19.5;0.414;21.4
7264;6.8;716.3;13.6;0.417;10.9
7265;3.7;1011.5;25.4;0.459;26.5
7266;6.4;894.6;22.6;0.414;21.4
7267;2.2;714.8;11.2;0.405;10.9
7268;0.7;1010.0;27.7;0.511;26.5
7269;2.9;893.3;20.5;0.428;21.4
7270;4.8;716.5;11.6;0.424;10.9
7271;5.2;1011.4;27.0;0.501;26.5
7272;2.5;894.8;21.5;0.419;21.4
7273;1.1;714.8;9.7;0.409;10.9
7274;3.3;1010.7;26.8;0.494;26.5
7275;1.8;892.5;19.6;0.415;21.4
7276;8.0;716.4;12.3;0.419;10.9
7277;0.5;1011.6;25.9;0.481;26.5
7278;6.8;894.9;23.8;0.416;21.4
7279;3.5;714.7;9.4;0.414;10.9
7280;4.0;1009.6;27.4;0.500;26.5
7281;2.9;892.4;20.2;0.409;21.4
7282;8.4;717.1;13.7;0.418;10.9
7283;5.5;1009.7;25.7;0.502;26.5
7284;7.1;895.7;23.9;0.404;21.4
7285;1.5;714.4;9.5;0.409;10.9
